Entity,Year,Number of internet users (OWID based on WB & UN)
Argentina,1990,0
Argentina,1992,1007
Argentina,1993,10072
Argentina,1994,15104
Argentina,1995,30193
Argentina,1996,50280
Argentina,1997,100457
Argentina,1998,301083
Argentina,1999,1203699
Argentina,2000,2608357
Argentina,2001,3665016
Argentina,2002,4123168
Argentina,2003,4564063
Argentina,2004,6210799
Argentina,2005,6936809
Argentina,2006,8278569
Argentina,2007,10370927
Argentina,2008,11352549
Argentina,2009,13871798
Argentina,2010,18550750
Argentina,2011,21245008
Argentina,2012,23489980
Argentina,2013,25481415
Argentina,2014,27809040
Argentina,2015,29542778
Argentina,2016,31118074
China,1990,0
China,1993,2053
China,1994,14356
China,1995,61435
China,1996,163519
China,1997,407873
China,1998,2136150
China,1999,9032277
China,2000,22788500
China,2001,34076238
China,2002,59681957
China,2003,80993322
China,2004,95922546
China,2005,112645367
China,2006,139874702
China,2007,213888081
China,2008,303837841
China,2009,390747678
China,2010,466396000
China,2011,523744941
China,2012,581710631
China,2013,633319291
China,2014,665862876
China,2015,702705362
China,2016,746662194
China,2017,765367947
Germany,1990,99604
Germany,1991,199129
Germany,1992,348429
Germany,1993,373319
Germany,1994,746622
Germany,1995,1492989
Germany,1996,2487416
Germany,1997,5469527
Germany,1998,8050374
Germany,1999,16985643
Germany,2000,24622623
Germany,2001,25806862
Germany,2002,39842914
Germany,2003,45662751
Germany,2004,52894546
Germany,2005,56116305
Germany,2006,58839519
Germany,2007,61138494
Germany,2008,63282136
Germany,2009,63962833
Germany,2010,66333724
Germany,2011,65775045
Germany,2012,66758038
Germany,2013,68400867
Germany,2014,70235938
Germany,2015,71567689
Germany,2016,73434128
Germany,2017,69300711
India,1990,0
India,1992,1008
India,1993,2016
India,1994,10077
India,1995,251924
India,1996,453560
India,1997,705842
India,1998,1412482
India,1999,2826612
India,2000,5555185
India,2001,7073322
India,2002,16759877
India,2003,18686779
India,2004,22253980
India,2005,27322412
India,2006,32599283
India,2007,46597409
India,2008,52435034
India,2009,62170631
India,2010,92323552
India,2011,125596668
India,2012,158894454
India,2013,193062893
India,2014,271710452
India,2015,340354035
India,2016,391255067
Nigeria,1990,0
Nigeria,1996,9781
Nigeria,1997,19568
Nigeria,1998,29366
Nigeria,1999,48970
Nigeria,2000,78404
Nigeria,2001,112793
Nigeria,2002,412328
Nigeria,2003,737167
Nigeria,2004,1741348
Nigeria,2005,4931178
Nigeria,2006,7908003
Nigeria,2007,9912433
Nigeria,2008,12027791
Nigeria,2009,14359403
Nigeria,2010,18236500
Nigeria,2011,22477036
Nigeria,2012,26934863
Nigeria,2013,32819397
Nigeria,2014,37056705
Nigeria,2015,44389527
Nigeria,2016,47743541
United States,1990,1981674
United States,1991,2965851
United States,1992,4439033
United States,1993,5906809
United States,1994,12776546
United States,1995,24539142
United States,1996,44135783
United States,1997,58826128
United States,1998,82919577
United States,1999,99968569
United States,2000,121475820
United States,2001,139807922
United States,2002,169012061
United States,2003,178938683
United States,2004,189443366
United States,2005,200593775
United States,2006,205295950
United States,2007,225446381
United States,2008,224496810
United States,2009,217314217
United States,2010,221265013
United States,2011,216894445
United States,2012,234061561
United States,2013,225293187
United States,2014,231934709
United States,2015,238520635
United States,2016,245425910
Yemen,1990,0
Yemen,1996,99
Yemen,1997,2465
Yemen,1998,3941
Yemen,1999,9841
Yemen,2000,14747
Yemen,2001,16699
Yemen,2002,98152
Yemen,2003,117694
Yemen,2004,176395
Yemen,2005,215832
Yemen,2006,264046
Yemen,2007,1089755
Yemen,2008,1540355
Yemen,2009,2288303
Yemen,2010,2915437
Yemen,2011,3614791
Yemen,2012,4345918
Yemen,2013,5115264
Yemen,2014,5918547
Yemen,2015,6482879
Yemen,2016,6779981
